Exp_number,Grid,Stimuli_1,Stimuli_2,Exemplar,Species,Present,Approach,Playback,Post
6,1,CRRO,NA,1,WBSC,1,0,0,0
6,1,CRRO,NA,1,SUFW,0,0,0,0
6,1,CRRO,NA,1,NHHE,1,0,0,1
6,1,CRRO,NA,1,REWA,0,0,0,0
6,1,CRRO,NA,1,EASP,1,0,0,0
6,1,CRRO,NA,1,BRTH,1,0,0,0
6,1,CRRO,NA,1,CRRO,1,0,0,0
6,1,CRRO,NA,1,PICU,0,0,0,0
10,1,NHHE,NHHE,1,WBSC,1,1,1,0
10,1,NHHE,NHHE,1,SUFW,1,0,0,0
10,1,NHHE,NHHE,1,NHHE,1,1,1,1
10,1,NHHE,NHHE,1,REWA,1,0,0,0
10,1,NHHE,NHHE,1,EASP,1,0,0,0
10,1,NHHE,NHHE,1,BRTH,0,0,0,0
10,1,NHHE,NHHE,1,CRRO,1,0,0,0
10,1,NHHE,NHHE,1,PICU,0,0,0,0
9,1,REWA,REWA,1,WBSC,1,0,0,0
9,1,REWA,REWA,1,SUFW,0,0,0,0
9,1,REWA,REWA,1,NHHE,1,0,0,0
9,1,REWA,REWA,1,REWA,1,1,1,1
9,1,REWA,REWA,1,EASP,1,0,0,0
9,1,REWA,REWA,1,BRTH,0,0,0,0
9,1,REWA,REWA,1,CRRO,1,0,0,0
9,1,REWA,REWA,1,PICU,0,0,0,0
2,1,SUFW,SUFW,1,WBSC,0,0,0,0
2,1,SUFW,SUFW,1,SUFW,1,1,0,0
2,1,SUFW,SUFW,1,NHHE,1,0,0,0
2,1,SUFW,SUFW,1,REWA,0,0,0,0
2,1,SUFW,SUFW,1,EASP,0,0,0,0
2,1,SUFW,SUFW,1,BRTH,1,1,0,0
2,1,SUFW,SUFW,1,CRRO,1,0,0,0
2,1,SUFW,SUFW,1,PICU,0,0,0,0
1,1,WBSC,WBSC,1,WBSC,1,1,1,0
1,1,WBSC,WBSC,1,SUFW,1,0,0,1
1,1,WBSC,WBSC,1,NHHE,1,1,1,0
1,1,WBSC,WBSC,1,REWA,1,1,0,0
1,1,WBSC,WBSC,1,EASP,0,0,0,0
1,1,WBSC,WBSC,1,BRTH,0,0,0,0
1,1,WBSC,WBSC,1,CRRO,0,0,0,0
1,1,WBSC,WBSC,1,PICU,0,0,0,0
3,1,NHHE,REWA,1,WBSC,0,0,0,0
3,1,NHHE,REWA,1,SUFW,1,0,1,0
3,1,NHHE,REWA,1,NHHE,1,1,1,0
3,1,NHHE,REWA,1,REWA,1,0,0,1
3,1,NHHE,REWA,1,EASP,0,0,0,0
3,1,NHHE,REWA,1,BRTH,0,0,0,0
3,1,NHHE,REWA,1,CRRO,0,0,0,0
3,1,NHHE,REWA,1,PICU,0,0,0,0
5,1,NHHE,SUFW,1,WBSC,1,0,0,1
5,1,NHHE,SUFW,1,SUFW,1,0,0,1
5,1,NHHE,SUFW,1,NHHE,1,1,0,1
5,1,NHHE,SUFW,1,REWA,0,0,0,0
5,1,NHHE,SUFW,1,EASP,1,1,0,0
5,1,NHHE,SUFW,1,BRTH,0,0,0,0
5,1,NHHE,SUFW,1,CRRO,1,1,0,0
5,1,NHHE,SUFW,1,PICU,0,0,0,0
4,1,NHHE,WBSC,1,WBSC,1,0,0,1
4,1,NHHE,WBSC,1,SUFW,1,0,1,0
4,1,NHHE,WBSC,1,NHHE,1,0,0,1
4,1,NHHE,WBSC,1,REWA,0,0,0,0
4,1,NHHE,WBSC,1,EASP,1,1,0,0
4,1,NHHE,WBSC,1,BRTH,1,0,0,0
4,1,NHHE,WBSC,1,CRRO,1,0,0,0
4,1,NHHE,WBSC,1,PICU,0,0,0,0
11,1,REWA,SUFW,1,WBSC,0,0,0,0
11,1,REWA,SUFW,1,SUFW,0,0,0,0
11,1,REWA,SUFW,1,NHHE,1,1,0,0
11,1,REWA,SUFW,1,REWA,1,1,1,1
11,1,REWA,SUFW,1,EASP,1,0,0,0
11,1,REWA,SUFW,1,BRTH,0,0,0,0
11,1,REWA,SUFW,1,CRRO,1,0,0,1
11,1,REWA,SUFW,1,PICU,0,0,0,0
8,1,REWA,WBSC,1,WBSC,1,0,0,0
8,1,REWA,WBSC,1,SUFW,0,0,0,0
8,1,REWA,WBSC,1,NHHE,1,1,1,1
8,1,REWA,WBSC,1,REWA,1,1,1,1
8,1,REWA,WBSC,1,EASP,1,0,0,0
8,1,REWA,WBSC,1,BRTH,1,0,0,0
8,1,REWA,WBSC,1,CRRO,0,0,0,0
8,1,REWA,WBSC,1,PICU,0,0,0,0
7,1,SUFW,WBSC,1,WBSC,0,0,0,0
7,1,SUFW,WBSC,1,SUFW,1,0,0,0
7,1,SUFW,WBSC,1,NHHE,1,1,0,1
7,1,SUFW,WBSC,1,REWA,0,0,0,0
7,1,SUFW,WBSC,1,EASP,1,1,0,0
7,1,SUFW,WBSC,1,BRTH,0,0,0,0
7,1,SUFW,WBSC,1,CRRO,0,0,0,0
7,1,SUFW,WBSC,1,PICU,0,0,0,0
10,1,CRRO,NA,2,WBSC,0,0,0,0
10,1,CRRO,NA,2,SUFW,0,0,0,0
10,1,CRRO,NA,2,NHHE,1,1,0,1
10,1,CRRO,NA,2,REWA,1,0,0,0
10,1,CRRO,NA,2,EASP,1,0,0,0
10,1,CRRO,NA,2,BRTH,0,0,0,0
10,1,CRRO,NA,2,CRRO,1,1,1,0
10,1,CRRO,NA,2,PICU,1,1,0,0
8,1,NHHE,NHHE,2,WBSC,0,0,0,0
8,1,NHHE,NHHE,2,SUFW,0,0,0,0
8,1,NHHE,NHHE,2,NHHE,1,1,0,0
8,1,NHHE,NHHE,2,REWA,1,0,0,0
8,1,NHHE,NHHE,2,EASP,1,1,0,0
8,1,NHHE,NHHE,2,BRTH,0,0,0,0
8,1,NHHE,NHHE,2,CRRO,1,0,0,0
8,1,NHHE,NHHE,2,PICU,1,0,0,1
3,1,REWA,REWA,2,WBSC,1,0,0,0
3,1,REWA,REWA,2,SUFW,0,0,0,0
3,1,REWA,REWA,2,NHHE,1,0,0,1
3,1,REWA,REWA,2,REWA,1,1,1,0
3,1,REWA,REWA,2,EASP,1,0,0,0
3,1,REWA,REWA,2,BRTH,0,0,0,0
3,1,REWA,REWA,2,CRRO,1,0,0,1
3,1,REWA,REWA,2,PICU,0,0,0,0
7,1,SUFW,SUFW,2,WBSC,0,0,0,0
7,1,SUFW,SUFW,2,SUFW,0,0,0,0
7,1,SUFW,SUFW,2,NHHE,1,1,1,0
7,1,SUFW,SUFW,2,REWA,1,0,1,0
7,1,SUFW,SUFW,2,EASP,1,1,0,0
7,1,SUFW,SUFW,2,BRTH,0,0,0,0
7,1,SUFW,SUFW,2,CRRO,0,0,0,0
7,1,SUFW,SUFW,2,PICU,1,0,0,0
4,1,WBSC,WBSC,2,WBSC,1,0,0,1
4,1,WBSC,WBSC,2,SUFW,0,0,0,0
4,1,WBSC,WBSC,2,NHHE,1,1,0,1
4,1,WBSC,WBSC,2,REWA,1,0,0,1
4,1,WBSC,WBSC,2,EASP,1,1,0,0
4,1,WBSC,WBSC,2,BRTH,0,0,0,0
4,1,WBSC,WBSC,2,CRRO,1,0,0,0
4,1,WBSC,WBSC,2,PICU,1,0,0,0
6,1,NHHE,REWA,2,WBSC,1,0,0,0
6,1,NHHE,REWA,2,SUFW,0,0,0,0
6,1,NHHE,REWA,2,NHHE,1,1,0,1
6,1,NHHE,REWA,2,REWA,1,1,1,1
6,1,NHHE,REWA,2,EASP,1,1,0,0
6,1,NHHE,REWA,2,BRTH,0,0,0,0
6,1,NHHE,REWA,2,CRRO,1,0,0,0
6,1,NHHE,REWA,2,PICU,1,0,0,0
11,1,NHHE,SUFW,2,WBSC,1,0,1,0
11,1,NHHE,SUFW,2,SUFW,1,1,0,1
11,1,NHHE,SUFW,2,NHHE,1,0,0,1
11,1,NHHE,SUFW,2,REWA,1,0,0,0
11,1,NHHE,SUFW,2,EASP,1,0,0,0
11,1,NHHE,SUFW,2,BRTH,1,1,1,0
11,1,NHHE,SUFW,2,CRRO,1,0,0,0
11,1,NHHE,SUFW,2,PICU,1,0,0,0
1,1,NHHE,WBSC,2,WBSC,1,0,0,0
1,1,NHHE,WBSC,2,SUFW,0,0,0,0
1,1,NHHE,WBSC,2,NHHE,1,1,1,1
1,1,NHHE,WBSC,2,REWA,1,1,1,1
1,1,NHHE,WBSC,2,EASP,1,1,0,0
1,1,NHHE,WBSC,2,BRTH,0,0,0,0
1,1,NHHE,WBSC,2,CRRO,1,1,1,0
1,1,NHHE,WBSC,2,PICU,0,0,0,0
2,1,REWA,SUFW,2,WBSC,1,0,0,0
2,1,REWA,SUFW,2,SUFW,0,0,0,0
2,1,REWA,SUFW,2,NHHE,1,0,1,0
2,1,REWA,SUFW,2,REWA,1,1,1,1
2,1,REWA,SUFW,2,EASP,1,1,0,0
2,1,REWA,SUFW,2,BRTH,0,0,0,0
2,1,REWA,SUFW,2,CRRO,1,1,0,0
2,1,REWA,SUFW,2,PICU,1,0,0,0
5,1,REWA,WBSC,2,WBSC,1,0,0,0
5,1,REWA,WBSC,2,SUFW,0,0,0,0
5,1,REWA,WBSC,2,NHHE,1,1,1,1
5,1,REWA,WBSC,2,REWA,1,0,1,0
5,1,REWA,WBSC,2,EASP,1,1,0,0
5,1,REWA,WBSC,2,BRTH,0,0,0,0
5,1,REWA,WBSC,2,CRRO,1,0,0,0
5,1,REWA,WBSC,2,PICU,1,0,0,0
9,1,SUFW,WBSC,2,WBSC,0,0,0,0
9,1,SUFW,WBSC,2,SUFW,0,0,0,0
9,1,SUFW,WBSC,2,NHHE,1,1,1,0
9,1,SUFW,WBSC,2,REWA,1,0,0,1
9,1,SUFW,WBSC,2,EASP,1,1,0,0
9,1,SUFW,WBSC,2,BRTH,0,0,0,0
9,1,SUFW,WBSC,2,CRRO,1,0,0,0
9,1,SUFW,WBSC,2,PICU,1,0,0,1
10,2,CRRO,NA,1,WBSC,1,0,0,0
10,2,CRRO,NA,1,SUFW,0,0,0,0
10,2,CRRO,NA,1,NHHE,1,0,0,0
10,2,CRRO,NA,1,REWA,0,0,0,0
10,2,CRRO,NA,1,EASP,1,0,0,0
10,2,CRRO,NA,1,BRTH,0,0,0,0
10,2,CRRO,NA,1,CRRO,1,1,1,1
10,2,CRRO,NA,1,PICU,1,0,0,1
3,2,NHHE,NHHE,1,WBSC,0,0,0,0
3,2,NHHE,NHHE,1,SUFW,1,0,0,0
3,2,NHHE,NHHE,1,NHHE,1,1,0,1
3,2,NHHE,NHHE,1,REWA,0,0,0,0
3,2,NHHE,NHHE,1,EASP,1,0,0,0
3,2,NHHE,NHHE,1,BRTH,0,0,0,0
3,2,NHHE,NHHE,1,CRRO,0,0,0,0
3,2,NHHE,NHHE,1,PICU,0,0,0,0
4,2,REWA,REWA,1,WBSC,0,0,0,0
4,2,REWA,REWA,1,SUFW,0,0,0,0
4,2,REWA,REWA,1,NHHE,0,0,0,0
4,2,REWA,REWA,1,REWA,0,0,0,0
4,2,REWA,REWA,1,EASP,1,0,0,0
4,2,REWA,REWA,1,BRTH,0,0,0,0
4,2,REWA,REWA,1,CRRO,1,0,0,0
4,2,REWA,REWA,1,PICU,0,0,0,0
7,2,SUFW,SUFW,1,WBSC,1,0,0,0
7,2,SUFW,SUFW,1,SUFW,1,0,0,0
7,2,SUFW,SUFW,1,NHHE,0,0,0,0
7,2,SUFW,SUFW,1,REWA,0,0,0,0
7,2,SUFW,SUFW,1,EASP,1,0,0,0
7,2,SUFW,SUFW,1,BRTH,0,0,0,0
7,2,SUFW,SUFW,1,CRRO,0,0,0,0
7,2,SUFW,SUFW,1,PICU,0,0,0,0
11,2,WBSC,WBSC,1,WBSC,1,1,1,1
11,2,WBSC,WBSC,1,SUFW,0,0,0,0
11,2,WBSC,WBSC,1,NHHE,0,0,0,0
11,2,WBSC,WBSC,1,REWA,1,0,0,1
11,2,WBSC,WBSC,1,EASP,0,0,0,0
11,2,WBSC,WBSC,1,BRTH,0,0,0,0
11,2,WBSC,WBSC,1,CRRO,1,0,0,0
11,2,WBSC,WBSC,1,PICU,1,0,0,0
8,2,NHHE,REWA,1,WBSC,0,0,0,0
8,2,NHHE,REWA,1,SUFW,1,1,0,1
8,2,NHHE,REWA,1,NHHE,1,0,0,1
8,2,NHHE,REWA,1,REWA,0,0,0,0
8,2,NHHE,REWA,1,EASP,0,0,0,0
8,2,NHHE,REWA,1,BRTH,1,0,0,0
8,2,NHHE,REWA,1,CRRO,0,0,0,0
8,2,NHHE,REWA,1,PICU,1,1,1,0
2,2,NHHE,SUFW,1,WBSC,0,0,0,0
2,2,NHHE,SUFW,1,SUFW,0,0,0,0
2,2,NHHE,SUFW,1,NHHE,1,1,1,0
2,2,NHHE,SUFW,1,REWA,0,0,0,0
2,2,NHHE,SUFW,1,EASP,0,0,0,0
2,2,NHHE,SUFW,1,BRTH,0,0,0,0
2,2,NHHE,SUFW,1,CRRO,0,0,0,0
2,2,NHHE,SUFW,1,PICU,0,0,0,0
9,2,NHHE,WBSC,1,WBSC,1,0,0,0
9,2,NHHE,WBSC,1,SUFW,0,0,0,0
9,2,NHHE,WBSC,1,NHHE,1,0,0,0
9,2,NHHE,WBSC,1,REWA,0,0,0,0
9,2,NHHE,WBSC,1,EASP,1,0,0,0
9,2,NHHE,WBSC,1,BRTH,1,0,0,0
9,2,NHHE,WBSC,1,CRRO,1,0,0,0
9,2,NHHE,WBSC,1,PICU,0,0,0,0
5,2,REWA,SUFW,1,WBSC,1,0,0,0
5,2,REWA,SUFW,1,SUFW,0,0,0,0
5,2,REWA,SUFW,1,NHHE,0,0,0,0
5,2,REWA,SUFW,1,REWA,1,0,1,0
5,2,REWA,SUFW,1,EASP,0,0,0,0
5,2,REWA,SUFW,1,BRTH,1,0,1,0
5,2,REWA,SUFW,1,CRRO,1,0,0,0
5,2,REWA,SUFW,1,PICU,0,0,0,0
1,2,REWA,WBSC,1,WBSC,1,1,0,1
1,2,REWA,WBSC,1,SUFW,1,0,0,1
1,2,REWA,WBSC,1,NHHE,0,0,0,0
1,2,REWA,WBSC,1,REWA,1,1,0,0
1,2,REWA,WBSC,1,EASP,1,1,0,0
1,2,REWA,WBSC,1,BRTH,0,0,0,0
1,2,REWA,WBSC,1,CRRO,0,0,0,0
1,2,REWA,WBSC,1,PICU,0,0,0,0
6,2,SUFW,WBSC,1,WBSC,1,0,0,1
6,2,SUFW,WBSC,1,SUFW,1,0,1,0
6,2,SUFW,WBSC,1,NHHE,1,0,0,1
6,2,SUFW,WBSC,1,REWA,1,0,0,0
6,2,SUFW,WBSC,1,EASP,0,0,0,0
6,2,SUFW,WBSC,1,BRTH,1,0,0,1
